职位标题,薪资,薪资单位,结算方式,公司名称,发布时间,职位详情,职位链接
福田景田诚聘长期高薪兼职,180,天,月结,深圳童程童美科技有限公司罗湖分公司,05-05,"通过在学校及商超附近派发免费礼品和单页引导家长领取免费体验课
禁止转载

联系我时请说明在1010兼职网看到的
联系人：李老师
公司地址：翠竹地铁站文锦教育城3楼 [交通地图]
手机：153 6046 ****点击查看完整电话
微信：15360463710
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/paifa/a1785007.html
晨光招聘每日或周末兼职促销员,150,天,半月结,深圳市晨光乳业有限公司,05-05,"每天都要人
每天都要人
(可自选周末或者天天上班)
晨光牛奶招聘兼职促销员
工作内容：给客户试饮牛奶并成交套餐订单。
薪资待遇：底薪150+拉新提成（10元/单）上不封顶（两周一结）
工作地点：光明公明各小区
工作时间：工作日13:00-21:00
周末10:00-12:00 15:00-21:00
联系方式
禁止转载

联系我时请说明在1010兼职网看到的
联系人：张小姐
公司地址：光明街道晨光乳业有限公司 [交通地图]
手机：155 2635 ****点击查看完整电话
微信：15526354300
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/cuxiao/a1800968.html
光明公明招聘晨光兼职送奶员多名,8000,天,日结,深圳市晨光乳业有限公司,05-05,"送奶员：多劳多得，工资计件。
工作：1、负责配送小区新订单的奶箱安装工作。
           2、每日凌晨2点到7点，按照单据骑电动车挨家配送牛奶到家，自带电动车。
要求：男性、18-50岁，会使用智能手机。
联系人：张站长15526354300
禁止转载

联系我时请说明在1010兼职网看到的
联系人：张
公司地址：光明街道晨光乳业有限公司 [交通地图]
手机：155 2635 ****点击查看完整电话
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/paifa/a1801129.html
招聘点位地推翠竹/罗湖益田假日,20,小时,周结,深圳童程童美教育有限公司龙岗分公司,05-05,"教育机构做活动，向4至16岁的家长介绍免费的体验课程，跟有意向的家长留下联系方式
禁止转载

联系我时请说明在1010兼职网看到的
联系人：jason
公司地址：龙岗区龙城广场D出口东方明珠城方茄城三楼 [交通地图]
手机：176 8816 ****点击查看完整电话
微信：17688168449
QQ：1418597632
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/paifa/a1748737.html
罗湖/点位/商场/扫码,20,小时,周结,深圳童程童美教育有限公司龙岗分公司,05-05,"【要求】
1、积极主动、活泼开朗
2、灵活应变、服从安排
3、长期需要兼职和固定兼职

【地点】罗湖翠竹地铁口

【内容】工作内容：
主动介绍免费体验课程，预约登记意向家长的联系方式(有小礼物可赠送)

有意者加微信【微信】黄老师
禁止转载

联系我时请说明在1010兼职网看到的
联系人：
公司地址：龙岗区龙城广场D出口东方明珠城方茄城三楼 [交通地图]
手机：176 8816 ****点击查看完整电话
微信：17688168449
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/paifa/a1797362.html
光明联想招聘小时工,21,小时,月结,深圳美帮信息咨询有限公司,05-05,"光明联想  招聘，入职可以借支。
  
上班满3天，每天借支150元。
 人走账清。

20.4元/H+提供住宿，先吃后扣。工期到4月底， 提供住宿扣10块/天。水电平摊。
一、光明联想电脑招聘小时工，男女不限，年龄18-42岁，两班倒，基本站立作业，需要本人真实有效身份证，纹身的也可以，每天10个小时左右。
也可以长期做，有转正机会，人走账清。
上班地点：光明联想

报名方式：姓名+性别+年龄+联想小时工，发送至我手机，可直接打电话联系，也可以加我微信
禁止转载

联系我时请说明在1010兼职网看到的
联系人：蒲先生
公司地址：福田保税区四号门公交站 [交通地图]
手机：135 3014 ****点击查看完整电话
微信：13530143532
提示：请不要交钱给任何单位",https://sz.1010jz.com/jiazheng/a1795960.html
户外广告拍照,100,天,日结,昆山市玉山镇壹壹玖陆肆柒号好活商务服务工作室,05-04,"负责拍摄户外广告，包括电梯、影院、机场、地铁站、高铁站等
禁止转载

联系我时请说明在1010兼职网看到的
联系人：毛经理
公司地址：杭州市星光大道 [交通地图]
微信：star2597
提示：请不要交钱给任何单位",https://sz.1010jz.com/qita/a1800753.html
光明联想,21,天,月结,深圳市纳杰人力服务有限公司,05-04,"光明联想21小时，
出勤满三天后，第四天开始每天出勤下班后可申请预支100元
住光明宿舍
住宿+水电合计13元/天
厂牌是餐卡，入职出勤满32小时后，工厂预充值490元，先吃后扣。餐补必须消费，否则清零。

男女不限，18–40岁
普通工衣，两班倒，走动式作业，每天10-11小时，上班2小时休息10分钟。不体检，离职三个工作日结工资。可以长期做12号发薪。无案底，做过正式工拒收，无花臂及手臂纹身。
禁止转载

联系我时请说明在1010兼职网看到的
联系人：王先生
公司地址：光明玉塘街道长圳社区第四工业区 [交通地图]
手机：134 8076 ****点击查看完整电话
微信：13480760391
提示：请不要交钱给任何单位",https://sz.1010jz.com/gongren/a1798116.html
日结！5号洗碗工，海上世界地铁站附近,20,小时,日结,美玥影视文化（深圳）有限公司,05-04,"日结！明天海上世界地铁站附近10:00-14:00，17:00-22:00；洗碗工20元/时，要女的，熟手，包餐，私聊！
禁止转载

联系我时请说明在1010兼职网看到的
联系人：蛋蛋
公司地址：深圳市龙华区 [交通地图]
手机：159 1993 ****点击查看完整电话
微信：15919930953
提示：请不要交钱给任何单位",https://sz.1010jz.com/fuwuyuan/a1795768.html
日结！6号洗碗工，海上世界地铁站附近,20,小时,日结,信德财人力资源（深圳）有限责任公司,05-04,"日结！今天6号海上世界地铁站附近10:00-14:00，17:00-22:00；洗碗工（帮忙收台）20元/时，包餐，私聊！
禁止转载

联系我时请说明在1010兼职网看到的
联系人：王经理
公司地址：深圳市龙华新区 [交通地图]
手机：136 9160 ****点击查看完整电话
微信：13691607203
提示：请不要交钱给任何单位",https://sz.1010jz.com/fuwuyuan/a1790937.html
龙岗中心城急需扫码兼职,35,小时,次日结,深圳教宇教育有限责任公司,05-04,"教培机构长期招聘扫码地推兼职（有经验优先）
1. 校区附近学校、小区门口、公园、商超定点引流，地推采单，送小玩具
2.年龄要求大班及以上
3.要求信息正确
4.严禁扫码信息作假
5.薪资:底薪+扫码添加微信，三年级及以上有额外奖励
6.地址：龙岗家和盛世花园二期

包物料小礼物、袋子、小玩具、资料等，新开校区工作简单，资源量大。

联系人：周女士
联系电话：
禁止转载

联系我时请说明在1010兼职网看到的
联系人：
公司地址：深圳龙岗中心城家和盛世萃华教育城 [交通地图]
手机：166 2081 ****点击查看完整电话
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/paifa/a1800848.html
福田景田电销兼职招聘,200,天,日结,深圳樊盛文化发展有限公司,05-04,"福田景田招聘教培行业外呼，工资日结。按时间来算，外呼上门和签约有额外提成。

1、工作时间：早班：9：00-18：00（12:00-14:00休息）；晚班：14:00-21:30（18:00-18:30休息），周内为晚班，周末为白班，每天7小时，再加上门提成 ，日结；
2、工作要求：外呼兼职，应届生和社会人员也可以，男女不限；
3、工作内容：公司内，不需要出外，环境舒适，模式简单：电话邀约报读课程或上门进行学科分析和领取学习资料，筛选意向客户；
4、工作地点：
5、工作待遇：120元/天，家长上门一个30元/提成（日结）。日均200元；
6、工作要求：态度端正，表达清晰，有机构电话销售经验者优先，目标感强；
7、需要人数:10人

禁止转载


禁止转载

联系我时请说明在1010兼职网看到的
联系人：
公司地址：福田区天健创业大厦 [交通地图]
手机：134 2093 ****点击查看完整电话
提示：请不要交钱给任何单位",https://sz.1010jz.com/market/a1800108.html
可居家小说兼职 日结,150,天,日结,广州时一企业管理服务有限公司,05-04,"可居家小说兼职 150元/天 日结
工作时间：9:00-19:00（每天1-3小时左右，可长期兼职，可居家作业）；
要    求：男女不限，16岁以上，有责任心，想赚钱，服从安排即可；
工作内容：抖音、视频号、红书 分享小说视频即可，号越多收入越高，多劳多得；
工作待遇：40-150元/天 日结

联 系 人：黄生
微信报名：（姓名+电话+每日可工作时间+可居家小说兼职）
禁止转载

联系我时请说明在1010兼职网看到的
联系人：黄生
公司地址：广州市车陂十二社 [交通地图]
手机：177 2878 ****点击查看完整电话
微信：yz33ss
提示：请不要交钱给任何单位",https://sz.1010jz.com/wenmi/a1799985.html
招聘社区水果和牛肉丸促销员（长期有效）,268,天,日结,深圳市京鹏果业有限公司,05-04,"招聘性别年龄：女性，25-45周岁；
工作时间：9:00-21:00；中午1:00-3:00逢一至五可适当休息，周末不允许；
薪资待遇：周结：日薪268元/天+3%提成（不达标则208元/天，逢周2发放；试用期3天，学习薪资188元/天（三天过后正式单干再双向选择，业绩佳可提供住宿）；
招聘要求：具有商超、快销品、促销等销售类相关工作经验优先；同时具备形象佳、亲和力强、性格开朗、沟通能力强、服务意识好、服从安排、敢于叫卖、有责任心，凡低头族、手机控、冰美人、计较，非诚勿扰！

工作地点：深圳范围就近安排
禁止转载

联系我时请说明在1010兼职网看到的
联系人：林先生
公司地址：深圳市福田区彩田村 [交通地图]
手机：135 0992 ****点击查看完整电话
微信：13509923816
提示：请不要交钱给任何单位",https://sz.1010jz.com/market/a1784061.html
沙井包吃包住日结，不压工资，每天日结,260,天,日结,深圳市耀腾仓储物流有限公司,05-04,"电子产品

可以长期做
300/天，每天下班结工资

包吃包住，不体检，独立岗位，普通工衣，可带手机，空调车间，空调宿舍，环境好，做事轻松
岗位:打包装，上班2小时，休息10分钟
直接＋微信
禁止转载

联系我时请说明在1010兼职网看到的
联系人：
公司地址：深圳宝安沙井 [交通地图]
微信：hc526014
提示：请不要交钱给任何单位",https://sz.1010jz.com/gongren/a1796093.html
电商日结++下班发+分拣扫描,200,天,日结,深圳市华源劳务派遣有限公司,05-03,"快递电商打包，分拣，扫描，男女不限18-40岁。

每天发，白班19块

小件打包分拣扫描

不包吃住，支持空降
禁止转载

联系我时请说明在1010兼职网看到的
联系人：李主管
公司地址：龙华龙观路城市明珠荣群大厦 [交通地图]
微信：lyw1856024
提示：请不要交钱给任何单位",https://sz.1010jz.com/jiazheng/a1799644.html
快递电商日结+每天发+打包分拣,200,天,日结,深圳市华源劳务派遣有限公司,05-03,"快递电商小件日结，打包分拣扫描


每天发，白班19块一个小时

18-40岁，男女不限

上班不能穿拖鞋，凉鞋，穿着要整齐



禁止转载

联系我时请说明在1010兼职网看到的
联系人：李主管
公司地址：龙华龙观路城市明珠荣群大厦 [交通地图]
微信：lyw1856024
提示：请不要交钱给任何单位",https://sz.1010jz.com/jiazheng/a1799158.html
福田区域招长期扫码/课包兼职,300,天,周结,深圳市成蹊四海文化传媒有限公司,05-03,"福田区域招长期课包/扫码兼职多名
工作内容：
机构扫码获取家长信息/售卖小课包
机构配备优质扫码礼物及课包礼物

1、薪资及奖励
获取有效名单：10元/条
售卖49.9元课包：最高得149.9元/个
拉访：40元/人
商场店，校区配备优质礼物

2、工作时间：
周中周末可做，多劳多得！！

有意向联系：
庄老师 （微信同号）
禁止转载

联系我时请说明在1010兼职网看到的
联系人：庄老师
公司地址：深圳市福田区华富街道莲花一村社区皇岗路5001号深业上城（南区）商业综合楼1栋T [交通地图]
手机：135 7089 ****点击查看完整电话
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/paifa/a1800865.html
发朋友圈,100,天,日结,深圳市珀雅烤鸡有限公司,05-02,"推广俄罗斯产品，发朋友圈
禁止转载

联系我时请说明在1010兼职网看到的
联系人：
公司地址：深圳市龙华区观澜街道桂花社区。 [交通地图]
手机：131 9237 ****点击查看完整电话
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/paifa/a1800588.html
日结！6号餐厅女洗碗工，海上世界,20,小时,日结,信德财人力资源（深圳）有限责任公司,05-01,"日结！明天6号海上世界地铁站附近10:00-14:00，17:00-22:00；洗碗工20元/时，要女的，包餐，私聊！
禁止转载

联系我时请说明在1010兼职网看到的
联系人：王英杰
公司地址：深圳市龙华新区 [交通地图]
手机：136 9160 ****点击查看完整电话
微信：13691607203
提示：请不要交钱给任何单位",https://sz.1010jz.com/fuwuyuan/a1782490.html
招聘白天学生监管辅导员,100,天,周结,深圳市乐思拓教育发展有限公司,05-01,"1，需要早上7点20分到下午2点20，总计7小时，费用100元
2，工作：监督孩子手机，监督孩子是否迟到，保持基本卫生，其他相关力所能及工作。简单轻松
3，没有学历要求，踏实认真即可
4，工资也可以周结，月结
5，有需要的直接打电话，不要发信息

地址：龙华区民治锦绣江南附近
禁止转载

联系我时请说明在1010兼职网看到的
联系人：李老师
公司地址：龙华新区梅龙路锦绣江南2236号 [交通地图]
手机：185 0755 ****点击查看完整电话
提示：请不要交钱给任何单位",https://sz.1010jz.com/laoshi/a1636938.html
龙华高提成教培机构发单人员,30,小时,周结,深圳市乐思拓教育发展有限公司,05-01,"1，教培10年老机构招聘销售人员
2，需要招聘发单介绍人员
3，机构很大，教师经验丰富，满意度很高
4，只需要40岁以下能吃苦的
禁止转载

联系我时请说明在1010兼职网看到的
联系人：李老师
公司地址：龙华新区梅龙路锦绣江南2236号 [交通地图]
手机：185 0755 ****点击查看完整电话
提示：请不要交钱给任何单位",https://sz.1010jz.com/market/a1706482.html
餐厅定点帮厨兼职！工期一个月，深大地铁站,22,小时,日结,信德财人力资源（深圳）有限责任公司,05-01,"短期定点餐厅帮厨兼职（洗菜切菜）！工期一个月！压二天工资，第三天开始每天日结！工作日上班（4号开始），包吃不包住（看清再报名）
地址：深大地铁站附近
班次安排：07:30-12:30；
吃饭时间：12点半
工资标准：22元/时；
工作岗位：洗菜切菜
要求：有健康证或体检单
报名方式: 姓名+电话+身份证正面
禁止转载

联系我时请说明在1010兼职网看到的
联系人：王经理
公司地址：深圳市龙华新区 [交通地图]
手机：136 9160 ****点击查看完整电话
微信：13691607203
提示：请不要交钱给任何单位",https://sz.1010jz.com/fuwuyuan/a1782940.html
龙华 光明 宝安区地推拉访,120,天,日结,深圳市星火国际教育文化传播有限公司,05-01,"地推拉访兼职
教培机构地推拉访
地址 1：龙华区汇海广场
地址 2: 光明大街地铁站附近
地址 3:公明红花山公园旁
地址 4:福永万福广场附近
地址 5: 宝安中心地铁站
时间：下午两点至八点
工资：120+拉访高提成
日结，附近的可联系
禁止转载

联系我时请说明在1010兼职网看到的
联系人：王老师
公司地址：龙华区汇海广场C座705室 [交通地图]
手机：137 1477 ****点击查看完整电话
微信：13714771245
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/paifa/a1799299.html
中国移动地推日结,100,天,日结,深圳市沃友通讯技术有限公司,05-01,"高佣次日结算，高效率服务。负责在广东省内（最好是深圳）推广深圳移动流量卡。流量160G，100分钟。地推方式不限。佣金150元/单，量多奖励多。有地推经验/开卡经验者优先。日薪1000+，加微备注
禁止转载

联系我时请说明在1010兼职网看到的
联系人：刘生
公司地址：龙华区龙华街道玉翠社区望城路 [交通地图]
手机：199 2540 ****点击查看完整电话
微信：k999-333
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/paifa/a1794234.html
塘尾电子厂日结  周结,260,天,日结,深圳市凯捷劳务派遣有限公司,05-01,"生产组装 包装 全检 测试
禁止转载

联系我时请说明在1010兼职网看到的
联系人：
公司地址：深市市 [交通地图]
手机：151 1245 ****点击查看完整电话
微信：zxcv8090qwe
提示：请不要交钱给任何单位",https://sz.1010jz.com/gongren/a1800917.html
蛇口希尔顿-至少一个月,17,小时,日结,深圳名峰清洁服务有限公司,05-01,"蛇口希尔顿至少一个月日结-
有宿舍工价17元/h 压一天工资
西餐中餐大堂吧 每天8-16小时
A班7.30-16.00 B班16.00-23.30
禁止转载

联系我时请说明在1010兼职网看到的
联系人：刘
公司地址：广东省深圳市罗湖区庆安大厦2506 [交通地图]
手机：180 2534 ****点击查看完整电话
微信：18025346336
提示：请不要交钱给任何单位",https://sz.1010jz.com/fuwuyuan/a1796053.html
急招罗湖地推扫码兼职,120,天,日结,深圳市布劳克斯教育咨询有限公司罗湖分公司,04-30,"【工作内容】
在罗湖区喜荟城购物中心周边区域推广，邀请家长带孩子参加英语体验课，扫二维码预约，预约成功后送小礼品一份。

【工作要求】
1、性别不限，需年满18周岁；
2、敢于主动去跟家长沟通介绍，性格开朗。
3、自觉主动去完成工作，不允许弄虚作假。

【上班时间】
早上10点至下午18点（无责任 底薪 ：120元）

【薪资待遇】
无责任保底：120元
提成：有效客户信息 2元一单


工作区域：罗湖区太宁路喜荟城周边（真实有效）
禁止转载

联系我时请说明在1010兼职网看到的
联系人：高诗浩
公司地址：罗湖区喜荟城 [交通地图]
手机：150 1792 ****点击查看完整电话
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/paifa/a1801124.html
急招五一假期酒楼日结兼职服务员,20,小时,日结,深圳昕睿劳务派遣有限公司,04-30,"海鲜酒楼（蛇口店）20元/小时下班日结，自备黑鞋黑裤，包餐

岗位：服务员
用工日期：5月1日-5日，能连做5天的22元/小时
用工时间： 17：30-22：30
17.00到吃饭
要求：年龄48岁以下，最好做过酒楼的
门店地址：南山蛇口新街71号
禁止转载

联系我时请说明在1010兼职网看到的
联系人：黄经理
公司地址：深圳市龙华新区龙华街道雪岗北路花半里大厦斜对面翠湖商务中心202 [交通地图]
手机：180 1875 ****点击查看完整电话
微信：18018753190
提示：请不要交钱给任何单位",https://sz.1010jz.com/fuwuyuan/a1800921.html
急招周末酒楼日结兼职服务员,18,小时,日结,深圳昕睿劳务派遣有限公司,04-30,"18元一小时日结！
急招明天南山蛇口街道海鲜酒楼兼职熟手服务员，生手不行，18-42岁，不能太胖，自备黑鞋黑鞋，不用健康证，包餐

上11.30-14.00，17.00-22.30的班，11.00到吃饭
禁止转载

联系我时请说明在1010兼职网看到的
联系人：黄经理
公司地址：深圳市龙华新区龙华街道雪岗北路花半里大厦斜对面翠湖商务中心202 [交通地图]
手机：180 1875 ****点击查看完整电话
微信：18018753190
提示：请不要交钱给任何单位",https://sz.1010jz.com/fuwuyuan/a1800953.html
急招明天日结兼职服务员,20,天,日结,深圳昕睿劳务派遣有限公司,04-30,"20元一小时日结！
急招1号至5号南山蛇口街道酒楼兼职熟手服务员，生手不行！18-45岁，不能太胖，自备黑鞋黑鞋，不用健康证
上17.30-22.30的班，17.00到吃饭
禁止转载

联系我时请说明在1010兼职网看到的
联系人：黄经理
公司地址：深圳市龙华新区龙华街道雪岗北路花半里大厦斜对面翠湖商务中心202 [交通地图]
手机：180 1875 ****点击查看完整电话
微信：18018753190
提示：请不要交钱给任何单位",https://sz.1010jz.com/fuwuyuan/a1800924.html
文员兼职,20,小时,日结,深圳市宇光文化传播有限公司,04-30,"报名参加
1.主要做一些行政方面工作。
2.招聘方面工作，本公司为教育培训机构，招聘老师及教务管理人员，筛选简历及邀约
3.时薪。20元/小时。每周有空闲时间即可。每天5-8小时，时间灵活自由。工资可以日结或周结。
4.年龄要求，22-40岁，女性优先。

工作地点：罗湖田贝地铁站附近，柏丽大厦
                 福田莲花二村华城百货二楼

禁止转载

联系我时请说明在1010兼职网看到的
联系人：
公司地址：福田区 [交通地图]
手机：189 2466 ****点击查看完整电话
微信：yr18924669754
提示：请不要交钱给任何单位",https://sz.1010jz.com/wenmi/a1800226.html
Ole精品超市长期临促招聘,180,天,完工结,杭州认养一头牛生物科技有限公司,04-30,"【商超奶制品长期临促（可兼职）】

 工作亮点
 日薪180元+销售提成（多劳多得！）
 就近分配 
 知名商超 | 优质团队 

 你的工作内容
1 热情推广产品，专业解答顾客疑问
2 执行试饮活动，收集用户反馈
3 创意陈列商品，打造吸睛促销展台
4 监测竞品动态，及时反馈市场信息
5 精准记录销售数据，保障货品充足

 我们需要这样的你
 女生，年龄20-40岁，亲和力MAX，E人有经验能连做的优先，形象气质佳
 沟通达人（有快消/乳品促销经验更佳）
 周末/节假日可全勤（客流高峰需冲业绩！）

 工作坐标
深圳高端商圈：OLE万象城店/万象天地店/深圳湾万象城店

 在岗时间
5.2-5.31  11：00-20:30（中间一小时吃饭休息）

 马上加入
速联：张经理 （微信同号）
（标题备注：商超促销+姓名+年龄+生活照+意向门店）

 优秀伙伴额外奖励：
 周度销售冠军奖金
 表现突出者可考虑转长期岗
 节日福利+团建活动

[ 企业直招 | 不收取任何费用 | 灵活安排面试 ]
禁止转载

联系我时请说明在1010兼职网看到的
联系人：张先生
公司地址：宝安区 [交通地图]
手机：139 2348 ****点击查看完整电话
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/cuxiao/a1801087.html
日结！长期招女派发女夹单员多名！,240,天,日结,深圳市宏钦文化传媒有限公司,04-30,"公司直招，不收取任何押金和保证金。 有意者，请联系深圳公司肖女士咨询和报名。

一、报名要求
限30周岁以内身体健康女性，不接受带病工作；五官端正，形象良好；爱岗敬业，吃苦耐劳（该职位需要不停走动）；

二、工作内容
1. 在福田和南山的指定区域内，四处走动，派发招生、售书广告彩单； 
2. 在指定区域内，四处走动，对路边及露天停车场的汽车，在汽车正驾驶座的车把手上，夹塞招生、售书广告彩单。 
             
三、工作待遇
8个钟200元（时薪25元） + 2餐餐补30元 + 10元交通补助，合计240元。

四、工作地址
1.福田大型商超、购物街及书城；   2.南山大型商超、购物街及书城；
五、工作时间
上午10:30 晚上7：30 （含一个钟的午餐和休息时间）
可以不用天天参与，但要事先协商好固定的某几天；
可以不用全天参与，但要事先协商好固定的某几天的上午或者下午；
禁止转载

联系我时请说明在1010兼职网看到的
联系人：肖女士
公司地址：（龙华分教点）龙华区大浪街道和平西路龙军花园A1A2栋3单元2025-2026 [交通地图]
微信：zhi_bo_hao2
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/paifa/a1800635.html
龙华大浪兼职打包工周结,6000,月,周结,深圳市臻德科技有限公司,04-29,"龙华大浪羊台山附近（龙胜地铁站附近）电商物流打包工（手工活）今天开始，每小时17元，9:00-20:30，每天10个小时，一天170，工资周结（周六晚下班全结，不压工资），可长期做，不要左撇子，要男生，最少做2周以上，有意向的随时联系我，罗先生微信同步(没有吃住）
禁止转载

联系我时请说明在1010兼职网看到的
联系人：罗主管
公司地址：深圳市龙岗区塘坑路龙塘商务中心 [交通地图]
手机：158 8947 ****点击查看完整电话
微信：15889478534
提示：请不要交钱给任何单位",https://sz.1010jz.com/jiazheng/a1725181.html
盛平/南联培训机构地推,25,小时,日结,深圳市爱唯途教育管理有限公司,04-29,"兼职薪酬：
无责底薪≥25/小时，合无责底薪150/天，合综合薪资150~300/天。

工作内容：定点引流，地推采单，送小玩具
①定点引流
②课包售卖及获取名单须核销确认
③工资次日可结

采单遵循“非无效，既有效”原则。

工作地点：
龙岗区“盛平/南联”两地附近

工作时间：
周一到周五下午3小时：15:30-18:30，或按照中心实际情况安排。
周六到周日全天6小时：9:30-12:30，15:30-18:30

具体兼职工作详情，请优先加微信了解。
微信备注请注明：名字+兼职

校区联系人（微信）：
WE_Liiiiiiz
联系我时请说明在1010兼职网看到的
禁止转载

联系我时请说明在1010兼职网看到的
联系人：曹老师
公司地址：龙岗区盛平社区远洋新天地二期 [交通地图]
手机：180 2690 ****点击查看完整电话
微信：we_liiiiiiz
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/paifa/a1791021.html
龙岗盛平社区市场专员/地推,35,小时,次日结,深圳市爱唯途教育管理有限公司,04-29,"少儿培训机构招聘专兼职市场执行专员（有细分领域地推经验者优先）

兼职薪酬：
无责底薪≥25/小时，合无责底薪150/天，合综合薪资150~300/天。

工作内容：定点引流，地推采单，送小玩具
①兼职薪酬自选
②定点引流
③课包售卖及获取名单须核销确认
④工资次日可结
⑤周结或月结工资，有额外的连续出勤奖
专职须面试。
采单遵循“非无效，既有效”原则。

工作地点：
龙岗盛平：16号线龙园地铁站（在建），龙城街道远洋新天地（导航定位：新天地幼儿园）
工作地点自选。

工作时间：
周一到周五下午3小时：15点-18点，或按照中心实际情况安排。
周六到周日全天6小时：9点半-12点半，15点-18点。12点半-15点休息。

具体兼职工作详情，请优先加微信了解。
微信备注请注明：名字+兼职

校区联系人（微信）：
WE_Liiiiiiz

联系我时请说明在1010兼职网看到的
公司地址：龙岗区盛平社区远洋新天地二期
禁止转载

联系我时请说明在1010兼职网看到的
联系人：
公司地址：龙岗区盛平社区远洋新天地二期 [交通地图]
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/paifa/a1792042.html
灵活贴纸拍照,80,天,日结,深圳市爱创科技教育有限公司,04-29,"到各写字楼人员多的地方贴纸和拍照即可，简单轻松，可以长期做。
中午12:30-18:00  半天80元
只要男生
禁止转载

联系我时请说明在1010兼职网看到的
联系人：罗生
公司地址：南山区智慧广场A座1单元15楼1501c1-1501c2 [交通地图]
手机：139 2467 ****点击查看完整电话
微信：13924676793
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/paifa/a1801118.html
教培类APP推广拉新有保底,500,天,日结,浙江艺旗教育科技有限公司,04-29,"招聘：5人
内容：卖课包
日期：3号—5号
时间：10:00–18:00
地点：会展中心
底薪：每天保底200元
提成：50元/单、多劳多得
要求：有教培地推经验 且会粤语
号码与WX同号请联系（不接电话）

禁止转载

联系我时请说明在1010兼职网看到的
联系人：王先生
公司地址：福田区 [交通地图]
手机：186 8221 ****点击查看完整电话
微信：markl23954549
提示：请不要交钱给任何单位，谨防：会员卡费、押金、保证金",https://sz.1010jz.com/paifa/a1800789.html
项目助理实习（仅在读）,150,天,月结,励展华博展览（深圳）有限公司,04-29,"工作职能：
1.根据项目需求进行展会相关数据搜索、采集，拓展及开发等数据处理工作。
2.根据项目组需求进行项目官网网站修改，更新及维护工作。
3.活动执行
4.协助市场部其他相关的工作。
职位要求：
1.每周5天工作时间，可接受加班
2.仔细认真，有耐心，有较好得文字功底及审美能力优先考虑
3.较强的沟通能力，逻辑思维能力和学习能力，抗压力强，积极性高
4.有优秀的英文文案功底优先
5.熟练使用Excel, PPT，PS，PR等软件优先。
工作地点：深圳市福田区中心四路1-1号嘉里建设广场第三座3楼303室-励展（深圳）展览有限公司
工作时间：9：00-18：00
工资：150-180元
禁止转载

联系我时请说明在1010兼职网看到的
联系人：罗
公司地址：福田区国际商会中心 [交通地图]
手机：135 1002 ****点击查看完整电话
电话：0755-23834577
微信：leoy20141130
提示：请不要交钱给任何单位",https://sz.1010jz.com/wenmi/a1799551.html
招兼职晚辅老师,150,天,月结,深圳市南山区学优教育培训中心,04-29,"1 要求师类专科或以上学校毕业
2 最好住南山蛇口附近
3 有亲和力，性格活泼开朗
4 责任心强，有一定的管理能力
5 有晚辅经验优先。
6 要求能辅导小学全科
7 周一至周五晚上4：00：9：30
8 周六上一对一另外提成
禁止转载

联系我时请说明在1010兼职网看到的
联系人：林老师
公司地址：南山区蛇口渔村路63号德隆广场二楼学优教育 [交通地图]
手机：189 2844 ****点击查看完整电话
微信：18928442102
提示：请不要交钱给任何单位",https://sz.1010jz.com/laoshi/a1800936.html
每天要人做完现结,100,天,日结,深圳市百川安全技术有限公司,04-28,"日结龙华天天要人，做完立马结符合条件报名！
必须有驾驶证，没有案底行政处罚！之前做过的不能再来了。
每天龙华捡钱活充场100，现结现结！
每天线下深圳运满满APP拉新，年龄25-55，只要男生！
注册好立马结。

要求有驾驶证，没有案底就行

报名发姓名+电话+年龄+运满满。
禁止转载

联系我时请说明在1010兼职网看到的
联系人：蒋云飞
公司地址：深圳市龙华区观湖街道新源社区腾龙工业区105号5栋103 [交通地图]
手机：133 7840 ****点击查看完整电话
微信：13378403027
提示：请不要交钱给任何单位",https://sz.1010jz.com/qita/a1799952.html
